"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.67622419234497e-11,0.837064541752784,0.417,0.294,7.78437385738189e-07,"0","CCDC109B"
7.3716661685757e-11,0.672583526940972,0.426,0.294,1.01095029835847e-06,"0","RSL1D1"
8.27765673743514e-11,0.620317546595843,0.313,0.188,1.13519784497186e-06,"0","LAT"
9.3902682412271e-11,0.789498133677913,0.406,0.27,1.28778138660188e-06,"0","ACAP1"
1.72810310140048e-10,0.894633431491871,0.268,0.162,2.36992059326061e-06,"0","PSIP1"
1.86708173696338e-09,0.621585292139257,0.563,0.454,2.56051589407158e-05,"0","TRAF3IP3"
2.91709862177867e-09,0.599845909065976,0.447,0.33,4.00050904990727e-05,"0","BTG2"
6.063174969939e-09,0.32937729518715,0.763,0.653,8.31503815377435e-05,"0","NBEAL1"
1.0809427393132e-08,0.409679584979525,0.653,0.539,0.000148240487269412,"0","SNRPD2"
2.06077475367282e-08,0.493445948928369,0.291,0.185,0.00028261464971869,"0","SPOCK2"
2.16339280993764e-08,0.378853164467963,0.408,0.284,0.000296687689954848,"0","STK17A"
9.7196148360441e-08,0.319131359328041,0.572,0.437,0.00133294797861509,"0","RARRES3"
1.48093486038143e-07,0.518894649360719,0.278,0.182,0.00203095406752709,"0","SBDS"
4.96367956694614e-07,0.416090696398542,0.481,0.381,0.00680719015810993,"0","UXT"
5.91911864297397e-07,0.483780930227885,0.453,0.352,0.0081174793069745,"0","MZT2B"
7.77010933076944e-07,0.278982549229025,0.933,0.882,0.0106559279362172,"0","BTF3"
1.56016792867675e-06,0.299081316114311,0.612,0.516,0.021396142973873,"0","RPL41"
1.56070309016633e-06,0.31000832006931,0.521,0.431,0.0214034821785411,"0","VAMP2"
1.99272300931387e-06,0.48961756366644,0.437,0.353,0.0273282033497304,"0","EIF3E"
2.38042756042209e-06,0.739104678302548,0.327,0.239,0.0326451835636285,"0","MZT2A"
2.49135886464589e-06,0.493943781083427,0.309,0.223,0.0341664954697537,"0","EEF1G"
3.34692918824725e-06,0.460129051456614,0.499,0.409,0.0458997868876228,"0","CUTA"
3.85934020138132e-06,0.36407443991061,0.526,0.434,0.0529269915217434,"0","GIMAP4"
8.61865929276482e-06,0.523717481358342,0.324,0.248,0.118196293540977,"0","TOMM20"
9.11208980393919e-06,0.667744973346948,0.315,0.236,0.124963199571222,"0","PCNP"
1.21701904185991e-05,0.491853881713492,0.287,0.207,0.166901991400667,"0","CITED2"
2.50175208261597e-05,0.422519154757357,0.352,0.271,0.343090280609954,"0","ANKRD12"
2.98537150324677e-05,0.398171717683864,0.312,0.227,0.409413847955262,"0","BIN1"
4.03429224935679e-05,0.314861643389169,0.695,0.603,0.553262839076791,"0","CCNI"
4.79800464426865e-05,0.371926043075475,0.34,0.256,0.657998356915002,"0","ARHGAP15"
5.08294107813575e-05,0.348931220132718,0.29,0.212,0.697074539455537,"0","CDC42SE2"
6.76997749725054e-05,0.280634108797136,0.425,0.352,0.92843471397294,"0","C1QBP"
7.92138436588083e-05,0.424935247122609,0.262,0.194,1,"0","EIF2S3"
8.41910782511666e-05,0.427830501126291,0.26,0.194,1,"0","HSPE1"
8.78378918774299e-05,0.67269425732657,0.305,0.233,1,"0","SNHG8"
0.000129856247582875,0.403679733188771,0.36,0.286,1,"0","SF1"
0.0001679955578539,0.273763245721978,0.536,0.473,1,"0","ZFAS1"
0.000251397547900348,0.305554320572781,0.433,0.353,1,"0","CMPK1"
0.000282443678849848,0.251332302716714,0.296,0.224,1,"0","KRT10"
0.0004141471790155,0.362658194105891,0.496,0.434,1,"0","COX6C"
0.000434937778447066,0.452520567619403,0.279,0.224,1,"0","EIF4B"
0.000586180747526649,0.365022647820342,0.253,0.193,1,"0","CCT4"
0.000588259401987722,0.424671961050157,0.357,0.296,1,"0","SON"
0.000750883765047896,0.546749731710053,0.278,0.217,1,"0","SEPT1"
0.000835226101433417,0.418485111251683,0.321,0.259,1,"0","RPL39"
0.000929997455436474,0.282734470526339,0.462,0.397,1,"0","MORF4L1"
0.000968128516828295,0.34706186859026,0.445,0.38,1,"0","NDUFS5"
0.000968452728429472,0.369580716347795,0.295,0.243,1,"0","RWDD1"
0.00112534099139244,0.292073397918503,0.273,0.209,1,"0","TSTD1"
